nome;anno;codice
Pescara Porto;2015;14175
Atri 1 Meteogeo;2015;14201
Arsita;2015;15789
Assergi;2015;15792
Barisciano;2015;15795
Caramanico Meteo;2015;15805
Chieti Meteo;2015;15811
L'Aquila Meteo;2015;15824
Montazzoli;2015;15831
Montereale;2015;15835
Pescocostanzo;2015;15838
S.Stefano;2015;15844
Sulmona;2015;15847
Teramo Meteo;2015;15850
Pescara a Santa Teresa;2015;17000
Giulianova;2015;19106
Villa S.Lucia;2015;19135
Roccaraso;2015;19140
Pescara Meteo;2015;19150
Bomba CITTA';2015;19174
Passo Godi-Scanno;2015;19184
Passo Lanciano;2015;19192
Catignano;2015;19737
Vasto;2015;19740
Campotosto;2015;19822
Beffi;2015;21166
Campo di Giove;2015;21180
Capestrano;2015;21182
Guardiagrele;2015;21242
Lanciano;2015;21250
Manoppello;2015;21260
Moscufo;2015;21266
Palmoli;2015;21278
Pescosansonesco;2015;21282
Pineto;2015;21284
Rosello;2015;21298
Roseto degli Abruzzi;2015;21300
S.Eufemia a Maiella;2015;21306
Scoppito;2015;21314
Tornimparte;2015;21324
Villa Celiera ETG;2015;21336
Montesilvano;2015;21342
Roccacasale;2015;21346
Villa Vallucci;2015;21352
Anversa;2015;21574
Casoli diga;2015;21586
Castel del Monte;2015;21588
Collepietro;2015;21594
Cupello;2015;21596
Montenerodomo;2015;21600
Pescasseroli;2015;21610
P.te Vomano;2015;21614
Pretoro 1;2015;21616
Rocca di Mezzo;2015;21620
Pescara Colli;2015;21628
Colle Capuano;2015;35135
Ovindoli;2015;38369
Pietrasecca;2015;38373
Roccavivi;2015;38386
Campo Imperatore;2015;38408
Tagliacozzo;2015;39678
Loreto Aprutino;2015;39690
Rivisondoli;2015;39700
Sant'Omero;2015;39712
Scerni;2015;39718
Casoli Piano La Roma;2015;39723
Tagliacozzo Aia;2015;39728
Collelongo;2015;39733
Vasto Porto;2015;39742
Giulianova Porto;2015;39747
Roccacerro;2015;39754
Castiglione Messer Marino;2015;43187
Rocca San Giovanni;2015;45869
Casalanguida;2015;48502
Tossicia;2015;48512
Atessa;2015;48522
Pizzoli;2015;48525
Case Incile;2015;48537
Collarmele;2015;48555
Canistro;2015;48558
Celano;2015;48562
Guilmi;2015;48573
Alento a San Leonardo;2015;48580
L'Aquila CF;2015;51086
Foro a Ponte di Vacri;2015;53427
Aterno Sagittario a allogg.idr;2015;53430
Tirino a Madonnina;2015;53433
Salle;2015;53436
Piomba a Silvi;2015;53438
Sangro a Villa Santa Maria;2015;53440
Sangro a Paglieta;2015;53442
Civitella Fortezza;2015;53469
Aventino a Selva di Altino;2015;53560
Sangro ad Ateleta;2015;53562
Zittola a Montenero;2015;53564
Aterno a Fagnano;2015;53566
Tasso a Scanno;2015;53570
Pescara a Alanno;2015;53572
Cepagatti - Villareia;2015;53578
Carpineto della Nora;2015;53586
Atri 1 Meteogeo;2015;14207
Arsita;2015;15788
Assergi;2015;15791
Barisciano;2015;15794
Caramanico Meteo;2015;15804
Chieti Meteo;2015;15810
L'Aquila Meteo;2015;15823
Montazzoli;2015;15830
Montereale;2015;15834
Pescocostanzo;2015;15837
S.Stefano;2015;15843
Sulmona;2015;15846
Teramo Meteo;2015;15849
Pescara a Santa Teresa;2015;16999
Giulianova;2015;19105
Villa S.Lucia;2015;19134
Roccaraso;2015;19139
Pescara Meteo;2015;19149
Bomba CITTA';2015;19173
Passo Godi-Scanno;2015;19183
Passo Lanciano;2015;19191
Catignano;2015;19736
Vasto;2015;19739
Campotosto;2015;19821
Beffi;2015;21165
Campo di Giove;2015;21179
Capestrano;2015;21181
Guardiagrele;2015;21241
Lanciano;2015;21249
Manoppello;2015;21259
Moscufo;2015;21265
Palmoli;2015;21277
Pescosansonesco;2015;21281
Pineto;2015;21283
Rosello;2015;21297
Roseto degli Abruzzi;2015;21299
S.Eufemia a Maiella;2015;21305
Scoppito;2015;21313
Tornimparte;2015;21323
Villa Celiera ETG;2015;21335
Montesilvano;2015;21341
Roccacasale;2015;21345
Villa Vallucci;2015;21351
Anversa;2015;21573
Casoli diga;2015;21585
Castel del Monte;2015;21587
Collepietro;2015;21593
Cupello;2015;21595
Montenerodomo;2015;21599
Pescasseroli;2015;21609
P.te Vomano;2015;21613
Pretoro 1;2015;21615
Rocca di Mezzo;2015;21619
Pescara Colli;2015;21627
Bellante;2015;24002
Citta' S.Angelo;2015;24012
Isola del Gran Sasso;2015;24020
Ortucchio;2015;24022
Colle Capuano;2015;35134
Ovindoli;2015;38368
Roccavivi;2015;38385
Campo Imperatore;2015;38407
Tagliacozzo;2015;39677
Loreto Aprutino;2015;39689
Rivisondoli;2015;39699
Sant'Omero;2015;39711
Scerni;2015;39717
Casoli Piano La Roma;2015;39722
Tagliacozzo Aia;2015;39727
Collelongo;2015;39732
Roccacerro;2015;39753
Castiglione Messer Marino;2015;43186
Rocca San Giovanni;2015;45868
Casalanguida;2015;48503
Tossicia;2015;48513
Atessa;2015;48523
Pizzoli;2015;48526
Case Incile;2015;48536
Collarmele;2015;48554
Canistro;2015;48559
Celano;2015;48561
Guilmi;2015;48572
Alento a San Leonardo;2015;48581
L'Aquila CF;2015;51088
Carpineto della Nora;2015;53415
Cepagatti - Villareia;2015;53420
Foro a Ponte di Vacri;2015;53429
Aterno Sagittario a allogg.idr;2015;53432
Tirino a Madonnina;2015;53435
Salle;2015;53437
Piomba a Silvi;2015;53439
Sangro a Villa Santa Maria;2015;53441
Sangro a Paglieta;2015;53443
Civitella Fortezza;2015;53470
Aventino a Selva di Altino;2015;53559
Sangro ad Ateleta;2015;53561
Zittola a Montenero;2015;53563
Aterno a Fagnano;2015;53565
Tasso a Scanno;2015;53569
Pescara a Alanno;2015;53571
